Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin K	8310.0	Homo sapiens	CCOc1ccc(-c2cc3[nH]cnc3c(C#N)n2)cc1C(F)(F)F
Cathepsin K	277.0	Homo sapiens	CSCC[C@H](NC(=O)[C@H](CC(C)C)N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC(F)(F)F
Cathepsin K	5.7	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1CCN(S(=O)(=O)c2ccccn2)CC1=O
Cathepsin K	1.4	Homo sapiens	C[C@H](NC(=O)O[C@H](Cn1cnc2cc(Cl)c(Cl)cc21)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1
Cathepsin K	5900.0	Homo sapiens	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)c(F)c2)CC1
Cathepsin K	50.0	Homo sapiens	N#Cc1nccc(-c2ccc(OCCCO)c(C(F)(F)F)c2)n1
Cathepsin K	13.0	Homo sapiens	CN1CCN(CCCOc2ccc(-c3ccnc(C#N)n3)cc2C(F)(F)F)CC1
Cathepsin K	3090.0	Homo sapiens	CCc1nccn1CCCOc1ccc(-c2cccc(C#N)n2)cc1C(F)(F)F
Cathepsin K	5400.0	Homo sapiens	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1
Cathepsin K	50.0	Homo sapiens	CN(CCCC[C@@H](C=O)NC(=O)OC(C)(C)C)C(=O)C(F)(F)F
Cathepsin K	15.0	Homo sapiens	COC(=O)NCCCC[C@@H](C=O)NC(=O)OC(C)(C)C
Cathepsin K	104.0	Homo sapiens	O=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1
Cathepsin K	28.2	Homo sapiens	C[C@@H]1CC[C@H](NC(=O)[C@H](CC2CCCCCC2)NC(=O)c2ccco2)C(=O)CN1S(=O)(=O)c1ccccn1
Cathepsin K	263.0	Homo sapiens	C[C@@H]1CC[C@H](NC(=O)[C@H](CC2(C)CCCCC2)NC(=O)c2ccco2)C(=O)CN1C(=O)c1ccccn1
