Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 3	Homo sapiens	C[C@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c1ccsc1)[C@H]1CC[C@H](C)CC1
Cathepsin S	 3.0		FC(F)(F)c1cc(ccc1OCCC1CCNCC1)-c1nc(nc2n(CC3CCOC3)ccc12)C#N
Cathepsin S	 3	Homo sapiens	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC1CCN(CC1)C(C)C)C#N
Cathepsin S	 3	Homo sapiens	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC1CCN(CCO)CC1)C#N
Cathepsin S	 3.076	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NCCc1ccc2ccccc2c1
Cathepsin S	 3.1	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1
Cathepsin S	 3.1	Homo sapiens	FC(F)(F)c1cc(cnc1OCCC1CCNCC1)-c1nc(nc2n(CC(=O)N3CCOCC3)ccc12)C#N
Cathepsin S	 3.1	Homo sapiens	CCN1CC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1
Cathepsin S	 3.1	Homo sapiens	Cn1ccc2c(nc(nc12)C#N)-c1ccc(OCC2CCCNC2)c(c1)C(F)(F)F
Cathepsin S	 3.1	Homo sapiens	CC(C)(C)CC(C)(C)NC(=O)C(=O)C(COCc1ccccc1)NC(=O)C(CC1CCCCC1)NC(=O)N1CCOCC1
Cathepsin S	 3.1	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)C(CC1CCCCC1)NC(=O)c1cc(OC)ccc1[N+]([O-])=O
Cathepsin S	 3.1	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc(OC)ccc1[N+]([O-])=O
Cathepsin S	 3.1	Homo sapiens	CC(=O)Nc1ccc(cc1)C(=O)N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N
Cathepsin S	 3.1	Homo sapiens	OCCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1
Cathepsin S	 3.1	Homo sapiens	CN1CCN(CC1)c1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1
Cathepsin S	 3.15	Homo sapiens	Fc1ccc(c(Cl)c1)S(=O)(=O)[C@H]1CCN(C1)c1nc(ncc1C(=O)NCC(F)(F)F)C#N
Cathepsin S	 3.158	Homo sapiens	FC(F)(F)COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CNC1)c1ccc(Cl)cn1)C(=O)NC1(CC1)C#N
Cathepsin S	 3.2	Homo sapiens	Cn1cnc2c(nc(nc12)C#N)-c1cnc(OCCC2CCN(CC2)C(C)(C)C)c(c1)C(F)(F)F
Cathepsin S	 3.2	Homo sapiens	OCCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCCO4)ccc23)C#N)CC1
Cathepsin S	 3.2	Homo sapiens	CCN1CCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOCC4)ccc23)C#N)CC1
Cathepsin S	 3.2		CCN1CCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1
Cathepsin S	 3.2	Homo sapiens	O=C(N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N)c1cccs1
Cathepsin S	 3.2	Homo sapiens	OC[C@H]1C[C@@H](CN1c1ccnc(n1)C#N)S(=O)(=O)c1ccccc1C(F)(F)F
Cathepsin S	 3.21	Homo sapiens	CCOc1ccccc1-c1ccc(cc1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N
Cathepsin S	 3.213	Homo sapiens	Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ncccc1C(F)(F)F
Cathepsin S	 3.223	Homo sapiens	COc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CN(C1)C(=O)OC(C)(C)C)c1ccc(Cl)cn1)C(=O)NC1(CC1)C#N
Cathepsin S	 3.27	Homo sapiens	Cc1nncn1-c1ccc(c(c1)C(F)(F)F)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N
Cathepsin S	 3.3	Homo sapiens	CN(C)CCCOc1ccc(cc1C(F)(F)F)-c1cc2n(C)nnc2c(n1)C#N
