Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	24.0	Homo sapiens	CC(C)C[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)NCc1cccs1	2
Cathepsin K	24.0	Homo sapiens	CCCCNC(=O)C(=O)[C@H](CCC)NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl	2
Cathepsin K	24.0	Homo sapiens	CNC(=O)NCCCC[C@H](NC(=O)OCC1(Cc2c(F)cccc2F)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	25.0	Homo sapiens	O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1ccc(cc1)C#N	2
Cathepsin K	25.0	Homo sapiens	CCCC[C@H](NC(=O)OCC(C)(C)CC)C(=O)C(=O)Nc1ccon1	2
Cathepsin K	25.0	Homo sapiens	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	25.0	Homo sapiens	CC(C)C(Nc1ccccc1)C(=O)N1CCCCN1C#N	2
Cathepsin K	25.0	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCc2oc3ccccc3c2C1	2
Cathepsin K	25.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1-c1ccncc1	2
Cathepsin K	25.12	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2CCOCc2s1	2
Cathepsin K	25.12	Homo sapiens	CS(=O)(=O)c1ccc2nc(sc2c1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	25.12	Homo sapiens	Cc1sc(nc1C(F)(F)F)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	25.12	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nccs1	2
Cathepsin K	26.0	Homo sapiens	CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1	2
Cathepsin K	26.0	Homo sapiens	CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	26.0	Homo sapiens	CN1CCN(CCOc2ccc(COc3ccccc3Nc3nc(nc4n(cnc34)C3CCCC3)C#N)cc2)CC1	2
Cathepsin K	26.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1CC	2
Cathepsin K	26.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	26.0	Homo sapiens	CC(C)(C)OC(=O)N[C@@H](CCC1CCCCC1)C=O	2
Cathepsin K	26.3	Homo sapiens	CC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C(=O)C(=O)Nc1cc(C)n[nH]1	2
