Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	1022.0	'='	Homo sapiens	CC(C)CC(NC(=O)c1cccc(-c2ccc(S(C)(=O)=O)cc2)c1)C(=O)N(C)N(C)C#N
Cathepsin S	332.0	'='	Homo sapiens	CC(C)CC(NC(=O)c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(=O)N(C)N(C)C#N
Cathepsin S	1550.0	'='	Homo sapiens	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(OC)cc2)cc1
Cathepsin S	10000.1	'>'	Homo sapiens	CC[C@H](C)CC(C(=O)NCC#N)c1cccc(-c2ccc(N3CCN(C)CC3)cc2)c1
Cathepsin S	0.442	'='	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2Cl)CN1C(=O)C1(c2ccc(Br)cc2)CC1)C(=O)C(=O)NC1CC1
Cathepsin S	3.3	'='	Homo sapiens	Cn1c(C(F)(F)F)nc2c(-c3cnc(OCCC4CCNCC4)c(C(F)(F)F)c3)nc(C#N)nc21
Cathepsin S	2.0	'='	Homo sapiens	CCN1CCC(OCCOc2ccc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1
Cathepsin S	3.8	'='	Homo sapiens	CCN1CCC(C)(COc2ccc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1
Cathepsin S	3.4	'='	Homo sapiens	CN1CCC[C@@H]1C(=O)N1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ncn4C)cc2C(F)(F)F)CC1
Cathepsin S	2.7	'='	Homo sapiens	Cc1nc2c(-c3ccc(OCCC4CCNCC4)c(C(F)(F)F)c3)nc(C#N)nc2n1C
Cathepsin S	2.7	'='	Homo sapiens	CCN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CCOC)cc2C(F)(F)F)CC1
Cathepsin S	3.8	'='	Homo sapiens	CCOc1ccc(-c2nc(C#N)nc3c2ncn3C)cc1C(F)(F)F
Cathepsin S	1.6	'='	Homo sapiens	Cn1cnc2c(-c3ccc(OCCC4CCN(CC(=O)N5CCCC5)CC4)c(C(F)(F)F)c3)nc(C#N)nc21
